NOME DO MUNICÍPIO, POPULAÇÃO ESTIMADA
Lajes,10.108
Lajes Pintadas,4.939
Lucrécia,3.579
Luís Gomes,9.286
Macaíba,86.433
Macau,28.384
Major Sales,4.067
Marcelino Vieira,8.092
Martins,8.411
Maxaranguape,10.534
Messias Targino,4.404
Montanhas,11.774
Monte Alegre,23.843
Monte das Gameleiras,2.343
Mossoró,278.034
Natal,785.368
Nísia Floresta,33.949
Nova Cruz,35.534
Olho d'Água do Borges,3.748
Ouro Branco,5.071
Paraná,4.046
Paraú,3.659
Parazinho,4.940
Parelhas,22.179
Rio do Fogo,10.672
Passa e Fica,11.406
Passagem,3.222
Patu,11.245
Santa Maria,4.992
Pau dos Ferros,31.975
Pedra Grande,3.729
Pedra Preta,2.499
Pedro Avelino,6.345
Pedro Velho,14.197
Pendências,12.536
Pilões,3.010
Poço Branco,12.619
Portalegre,7.842
Porto do Mangue,5.357
Serra Caiada,11.146
Pureza,9.707
Rafael Fernandes,5.647
Rafael Godeiro,3.008
Riacho da Cruz,2.741
Riacho de Santana,4.243
Riachuelo,7.627
Rodolfo Fernandes,4.349
Tibau,5.674
Ruy Barbosa,3.266
Santa Cruz,38.996
Santana do Matos,12.746
Santana do Seridó,2.787
Santo Antônio,22.779
São Bento do Norte,3.426
São Bento do Trairí,3.892
São Fernando,3.600
São Francisco do Oeste,4.304
São Gonçalo do Amarante,123.207
São João do Sabugi,6.130
São José de Mipibu,49.693
São José do Campestre,11.340
São José do Seridó,4.716
São Miguel,24.329
São Miguel do Gostoso,10.590
São Paulo do Potengi,17.320
São Pedro,5.905
São Rafael,7.899
São Tomé,10.188
São Vicente,6.514
Senador Elói de Souza,6.007
Senador Georgino Avelino,4.193
Serra de São Bento,5.864
Serra do Mel,13.694
Serra Negra do Norte,7.801
Serrinha,6.609
Serrinha dos Pintos,4.802
Severiano Melo,5.623
Sítio Novo,4.758
Taboleiro Grande,2.406
Taipu,11.716
Tangará,13.602
Tenente Ananias,10.587
Tenente Laurentino Cruz,6.118
Tibau do Sul,17.840
Timbaúba dos Batistas,2.420
Touros,34.624
Triunfo Potiguar,3.474
Umarizal,10.671
Upanema,14.013
Várzea,5.383
Venha-Ver,3.035
Vera Cruz,11.044
Viçosa,1.890
Vila Flor,3.289
Água Branca,9.578
Aguiar,5.061
Alagoa Grande,26.774
Alagoa Nova,21.724
Alagoinha,14.118
Alcantil,5.777
Algodão de Jandaíra,3.105
Alhandra,22.797
São João do Rio do Peixe,18.468
Amparo,2.316
Aparecida,8.225
Araçagi,17.012
Arara,12.496
Araruna,17.442
Areia,23.082
Areia de Baraúnas,2.036
Areial,7.393
Aroeiras,19.148
Assunção,4.342
Baía da Traição,9.648
Bananeiras,23.989
Baraúna,4.968
Barra de Santana,8.253
Barra de Santa Rosa,13.094
Barra de São Miguel,6.101
Bayeux,84.404
Belém,16.740
Belém do Brejo do Cruz,6.324
Bernardino Batista,3.650
Boa Ventura,5.277
Boa Vista,6.575
Bom Jesus,2.333
Bom Sucesso,4.740
Bonito de Santa Fé,10.460
Boqueirão,18.153
Igaracy,5.743
Borborema,4.231
Brejo do Cruz,14.050
Brejo dos Santos,5.840
Caaporã,21.865
Cabaceiras,5.515
Cabedelo,70.067
Cachoeira dos Índios,9.351
Cacimba de Areia,3.354
Cacimba de Dentro,16.373
Cacimbas,7.478
Caiçara,6.713
Cajazeiras,66.171
Cajazeirinhas,2.776
Caldas Brandão,5.928
Camalaú,6.298
Campina Grande,440.939
Capim,7.347
Caraúbas,4.059
Carrapateira,2.367
Casserengue,7.056
Catingueira,4.572
Catolé do Rocha,32.118
Caturité,5.492
Conceição,18.723
Condado,6.624
Conde,29.543
Congo,5.102
Coremas,15.005
Coxixola,1.882
Cruz do Espírito Santo,17.718
Cubati,7.820
Cuité,20.205
Cuitegi,6.894
Cuité de Mamanguape,6.431
Curral de Cima,5.406
Curral Velho,2.327
Damião,5.131
Desterro,8.300
Vista Serrana,3.759
Diamante,6.431
Dona Inês,10.640
Duas Estradas,3.377
Emas,3.053
Esperança,32.522
Fagundes,11.315
Frei Martinho,2.913
Gado Bravo,8.395
Guarabira,59.836
Gurinhém,14.133
Gurjão,3.343
Ibiara,5.733
Imaculada,10.550
Ingá,18.197
Itabaiana,23.621
Itaporanga,24.686
Itapororoca,19.054
Itatuba,10.816
Jacaraú,14.923
Jericó,7.721
João Pessoa,888.679
Juarez Távora,8.057
Juazeirinho,17.488
Junco do Seridó,7.002
Juripiranga,10.259
Juru,9.410
Lagoa,4.502
Lagoa de Dentro,8.088
Lagoa Seca,29.053
Lastro,3.292
Livramento,7.045
Logradouro,5.045
Lucena,13.019
Mãe d'Água,3.624
Malta,6.259
Mamanguape,46.719
Manaíra,10.700
Marcação,9.435
Mari,22.126
Marizópolis,6.960
Massaranduba,14.666
Mataraca,8.585
Matinhas,4.735
Mato Grosso,2.592
Maturéia,6.677
Mogeiro,14.375
Montadas,6.083
Monte Horebe,4.435
Monteiro,33.742
Mulungu,8.945
Natuba,9.014
Nazarezinho,7.392
Nova Floresta,9.884
Nova Olinda,5.909
Nova Palmeira,4.362
Olho d'Água,6.111
Olivedos,3.674
Ouro Velho,2.998
Parari,1.751
Passagem,2.562
Patos,107.774
Paulista,12.160
Pedra Branca,3.846
Pedra Lavrada,6.998
Pedras de Fogo,31.152
Piancó,17.006
Picuí,18.835
Pilar,12.801
Pilões,6.979
Pilõezinhos,5.514
Pirpirituba,9.467
Pitimbu,17.164
Pocinhos,17.990
Poço Dantas,3.932
Poço de José de Moura,4.120
Pombal,33.796
Prata,4.027
Princesa Isabel,21.659
Puxinanã,14.837
Queimadas,50.214
Quixaba,1.798
Remígio,18.373
Pedro Régis,5.925
Riachão,2.964
Riachão do Bacamarte,4.877
Riachão do Poço,4.946
Riacho de Santo Antônio,2.044
Riacho dos Cavalos,8.762
Rio Tinto,25.394
Salgadinho,3.437
Salgado de São Félix,11.760
Santa Cecília,8.031
Santa Cruz,6.041
Santa Helena,6.020
Santa Inês,3.274
Santa Luzia,15.387
Santana de Mangueira,5.106
Santana dos Garrotes,6.657
Joca Claudino,2.606
Santa Rita,159.121
Santa Teresinha,4.499
Santo André,2.702
São Bento,33.700
São Bentinho,4.473
São Domingos do Cariri,2.676
São Domingos,2.636
São Francisco,3.190
São João do Cariri,4.341
São João do Tigre,4.363
São José da Lagoa Tapada,7.270
São José de Caiana,5.032
São José de Espinharas,4.099
São José dos Ramos,6.105
São José de Piranhas,19.552
São José de Princesa,3.383
São José do Bonfim,3.333
São José do Brejo do Cruz,1.748
São José do Sabugi,4.270
São José dos Cordeiros,3.474
São Mamede,7.640
São Miguel de Taipu,7.287
São Sebastião de Lagoa de Roça,11.365
São Sebastião do Umbuzeiro,3.376
Sapé,53.309
São Vicente do Seridó,10.620
Serra Branca,14.075
Serra da Raiz,3.162
Serra Grande,3.043
Serra Redonda,6.984
Serraria,4.839
Sertãozinho,5.282
Sobrado,8.579
Solânea,27.749
Soledade,14.381
Sossêgo,3.461
Sousa,69.876
Sumé,17.763
Tacima,7.934
Taperoá,14.376
Tavares,14.464
Teixeira,15.082
Tenório,3.069
Triunfo,10.259
Uiraúna,15.386
Umbuzeiro,9.302
Várzea,2.764
Vieirópolis,4.974
Zabelê,2.310
Abreu e Lima,103.945
Afogados da Ingazeira,42.407
Afrânio,19.349
Agrestina,24.615
Água Preta,27.221
Águas Belas,43.713
Alagoinha,14.355
Aliança,37.372
Altinho,21.185
Amaraji,18.471
Angelim,10.580
Araçoiaba,19.936
Araripina,90.104
Arcoverde,82.003
Barra de Guabiraba,12.616
Barreiros,42.056
Belém de Maria,10.829
Belém do São Francisco,18.713
Belo Jardim,83.647
Betânia,11.981
Bezerros,64.809
Bodocó,36.129
Bom Conselho,46.192
Bom Jardim,39.278
Bonito,39.163
Brejão,9.399
Brejinho,8.010
Brejo da Madre de Deus,51.107
Buenos Aires,13.254
Buíque,54.425
Cabo de Santo Agostinho,216.969
Cabrobó,31.746
Cachoeirinha,20.612
Caetés,30.441
Calçado,11.445
Calumbi,5.367
Camaragibe,155.771
Camocim de São Félix,17.991
Camutanga,7.972
Canhotinho,25.090
Capoeiras,18.890
Carnaíba,19.513
Carnaubeira da Penha,12.682
Carpina,83.205
Caruaru,402.290
Casinhas,13.489
Catende,33.279
Cedro,10.845
Chã de Alegria,13.461
Chã Grande,21.224
Condado,25.383
Correntes,17.660
Cortês,10.512
Cumaru,16.252
Cupira,24.301
Custódia,39.403
Dormentes,17.749
Escada,62.252
Exu,33.436
Feira Nova,22.169
Fernando de Noronha,3.316
Ferreiros,15.794
Flores,20.835
Floresta,31.627
Frei Miguelinho,14.070
Gameleira,17.973
Garanhuns,151.064
Glória do Goitá,30.370
Goiana,85.160
Granito,7.206
Gravatá,91.887
Iati,17.605
Ibimirim,28.760
Ibirajuba,7.344
Igarassu,122.312
Iguaracy,11.366
Inajá,27.488
Ingazeira,4.959
Ipojuca,105.638
Ipubi,30.603
Itacuruba,4.490
Itaíba,33.691
Ilha de Itamaracá,25.529
Itambé,36.626
Itapetim,14.232
Itapissuma,29.463
Itaquitinga,17.109
Jaboatão dos Guararapes,683.285
Jaqueira,10.483
Jataúba,16.323
Jatobá,14.463
João Alfredo,28.903
Joaquim Nabuco,13.506
Jucati,11.975
Jupi,15.943
Jurema,14.027
Lagoa do Carro,18.708
Lagoa de Itaenga,19.915
Lagoa do Ouro,12.364
Lagoa dos Gatos,14.386
Lagoa Grande,24.952
Lajedo,41.786
Limoeiro,59.125
Macaparana,24.624
Machados,11.471
Manari,26.773
Maraial,9.432
Mirandiba,14.599
Moreno,57.647
Nazaré da Mata,32.153
Olinda,365.402
Orobó,22.438
Orocó,14.100
Ouricuri,68.329
Palmares,56.615
Palmeirina,7.154
Panelas,23.449
Paranatama,12.712
Parnamirim,19.028
Passira,29.719
Paudalho,59.638
Paulista,362.960
Pedra,23.605
Pesqueira,65.408
Petrolândia,35.991
Petrolina,414.083
Poção,10.805
Pombos,26.847
Primavera,14.351
Quipapá,17.974
Quixaba,6.755
Recife,1.587.707
Riacho das Almas,21.411
Ribeirão,34.255
Rio Formoso,20.460
Sairé,11.218
Salgadinho,5.620
Salgueiro,65.635
Saloá,14.173
Sanharó,18.933
Santa Cruz,14.320
Santa Cruz da Baixa Verde,11.933
Santa Cruz do Capibaribe,104.277
Santa Filomena,12.402
Santa Maria da Boa Vista,42.682
Santa Maria do Cambucá,14.533
Santa Terezinha,10.513
São Benedito do Sul,13.479
São Bento do Una,51.264
São Caitano,39.117
São João,24.772
São Joaquim do Monte,20.440
São José da Coroa Grande,19.468
São José do Belmonte,36.752
São José do Egito,32.491
São Lourenço da Mata,117.759
São Vicente Férrer,17.176
Serra Talhada,98.143
Serrita,18.759
Sertânia,34.269
Sirinhaém,39.233
Moreilândia,10.849
Solidão,5.403
Surubim,67.515
Tabira,29.093
Tacaimbó,14.277
Tacaratu,24.803
Tamandaré,24.534
Taquaritinga do Norte,25.497
Terezinha,6.857
Terra Nova,9.221
Timbaúba,47.575
Toritama,43.636
Tracunhaém,14.393
Trindade,32.086
Triunfo,15.142
Tupanatinga,27.009
Tuparetama,8.252
Venturosa,17.609
Verdejante,9.474
Vertente do Lério,7.782
Vertentes,22.955
Vicência,27.297
Vitória de Santo Antão,143.799
Xexéu,11.791
Água Branca,19.550
Anadia,14.193
Arapiraca,243.661
Atalaia,38.530
Barra de Santo Antônio,16.735
Barra de São Miguel,8.118
Batalha,17.103
Belém,4.820
Belo Monte,5.898
Boca da Mata,21.517
Branquinha,9.786
Cacimbinhas,10.701
Cajueiro,16.605
Campestre,6.807
Campo Alegre,32.714
Campo Grande,8.293
Canapi,15.743
Capela,15.068
Carneiros,9.200
Chã Preta,6.010
Coité do Nóia,11.036
Colônia Leopoldina,15.949
Coqueiro Seco,5.700
Coruripe,51.788
Craíbas,26.115
Delmiro Gouveia,52.809
Dois Riachos,9.906
Estrela de Alagoas,15.701
Feira Grande,23.191
Feliz Deserto,4.038
Flexeiras,9.767
Girau do Ponciano,37.335
Ibateguara,13.992
Igaci,24.452
Igreja Nova,22.125
Inhapi,15.417
Jacaré dos Homens,5.182
Jacuípe,5.432
Japaratinga,9.443
Jaramataia,5.075
Jequiá da Praia,9.625
Joaquim Gomes,17.386
Jundiá,4.176
Junqueiro,24.381
Lagoa da Canoa,18.831
Limoeiro de Anadia,25.197
Maceió,994.464
Major Isidoro,17.834
Maragogi,33.232
Maravilha,9.715
Marechal Deodoro,62.341
Maribondo,13.968
Mar Vermelho,3.212
Mata Grande,22.147
Matriz de Camaragibe,24.330
Messias,15.707
Minador do Negrão,4.938
Monteirópolis,7.341
Murici,25.933
Novo Lino,10.298
Olho d'Água das Flores,21.132
Olho d'Água do Casado,8.522
Olho d'Água Grande,4.384
Olivença,11.048
Ouro Branco,11.699
Palestina,4.410
Palmeira dos Índios,73.596
Pão de Açúcar,24.291
Pariconha,10.803
Paripueira,14.176
Passo de Camaragibe,14.076
Paulo Jacinto,6.697
Penedo,60.189
Piaçabuçu,16.201
Pilar,36.499
Pindoba,2.786
Piranhas,23.053
Poço das Trincheiras,12.974
Porto Calvo,24.520
Porto de Pedras,9.508
Porto Real do Colégio,20.262
Quebrangulo,11.305
Rio Largo,97.435
Roteiro,6.607
Santa Luzia do Norte,7.065
Santana do Ipanema,47.397
Santana do Mundaú,11.568
São Brás,6.557
São José da Laje,21.193
São José da Tapera,31.557
São Luís do Quitunde,31.792
São Miguel dos Campos,53.391
São Miguel dos Milagres,8.687
São Sebastião,32.701
Satuba,25.000
Senador Rui Palmeira,12.549
Tanque d'Arca,5.909
Taquarana,19.422
Teotônio Vilela,39.161
Traipu,24.124
União dos Palmares,60.874
Viçosa,24.423
Amparo do São Francisco,2.206
Aquidabã,20.542
Aracaju,628.849
Arauá,10.483
Areia Branca,18.560
Barra dos Coqueiros,44.384
Boquim,25.038
Brejo Grande,8.016
Campo do Brito,18.646
Canhoba,3.855
Canindé de São Francisco,27.885
Capela,32.716
Carira,20.315
Carmópolis,14.179
Cedro de São João,5.482
Cristinápolis,17.539
Cumbe,3.906
Divina Pastora,4.433
Estância,66.978
Feira Nova,6.207
Frei Paulo,14.884
Gararu,11.301
General Maynard,3.111
Gracho Cardoso,5.979
Ilha das Flores,8.495
Indiaroba,16.949
Itabaiana,108.408
Itabaianinha,42.114
Itabi,4.823
Itaporanga d'Ajuda,35.863
Japaratuba,16.472
Japoatã,13.707
Lagarto,105.558
Laranjeiras,24.170
Macambira,7.024
Malhada dos Bois,3.666
Malhador,11.728
Maruim,15.975
Moita Bonita,11.288
Monte Alegre de Sergipe,14.732
Muribeca,8.033
Neópolis,16.558
Nossa Senhora Aparecida,9.496
Nossa Senhora da Glória,43.255
Nossa Senhora das Dores,25.537
Nossa Senhora de Lourdes,6.404
Nossa Senhora do Socorro,202.450
Pacatuba,12.709
Pedra Mole,2.818
Pedrinhas,7.416
Pinhão,5.769
Pirambu,8.037
Poço Redondo,34.723
Poço Verde,22.214
Porto da Folha,27.350
Propriá,27.273
Riachão do Dantas,18.579
Riachuelo,8.875
Ribeirópolis,17.362
Rosário do Catete,9.499
Salgado,20.772
Santa Luzia do Itanhy,13.965
Santana do São Francisco,7.530
Santa Rosa de Lima,4.038
Santo Amaro das Brotas,11.297
São Cristóvão,100.360
São Domingos,10.550
São Francisco,3.323
São Miguel do Aleixo,3.481
Simão Dias,44.285
Siriri,7.984
Telha,3.373
Tobias Barreto,52.613
Tomar do Geru,12.145
Umbaúba,24.538
Abaíra,7.452
Abaré,18.240
Acajutiba,14.215
Adustina,14.554
Água Fria,14.871
Érico Cardoso,10.948
Aiquara,4.586
Alagoinhas,160.662
Alcobaça,25.494
Almadina,5.327
Amargosa,38.478
Amélia Rodrigues,24.848
América Dourada,15.583
Anagé,26.715
Andaraí,13.531
Andorinha,15.485
Angical,14.178
Anguera,11.456
Antas,15.061
Antônio Cardoso,11.501
Antônio Gonçalves,11.236
Aporá,16.379
Apuarema,7.114
Aracatu,14.422
Araçás,11.946
Araci,50.336
Aramari,10.122
Arataca,10.463
Aratuípe,8.981
Aurelino Leal,11.409
Baianópolis,14.110
Baixa Grande,18.680
Banzaê,12.309
Barra,53.528
Barra da Estiva,27.582
Barra do Choça,38.481
Barra do Mendes,14.345
Barra do Rocha,5.920
Barreiras,170.667
Barro Alto,13.911
Barrocas,15.743
Barro Preto,5.966
Belmonte,20.567
Belo Campo,19.042
Biritinga,15.606
Boa Nova,14.052
Boa Vista do Tupim,17.307
Bom Jesus da Lapa,68.704
Bom Jesus da Serra,10.028
Boninal,14.104
Bonito,16.393
Boquira,19.829
Botuporã,11.411
Brejões,13.272
Brejolândia,9.377
Brotas de Macaúbas,12.169
Brumado,74.095
Buerarema,15.056
Buritirama,20.212
Caatiba,6.224
Cabaceiras do Paraguaçu,17.039
Cachoeira,30.550
Caculé,23.246
Caém,10.729
Caetanos,11.500
Caetité,54.572
Cafarnaum,18.039
Cairu,18.486
Caldeirão Grande,13.566
Camacan,22.756
Camaçari,319.394
Camamu,31.775
Campo Alegre de Lourdes,32.377
Campo Formoso,74.894
Canápolis,10.612
Canarana,24.989
Canavieiras,34.343
Candeal,7.969
Candeias,75.083
Candiba,13.425
Cândido Sales,26.465
Cansanção,39.556
Canudos,16.662
Capela do Alto Alegre,11.055
Capim Grosso,35.228
Caraíbas,10.260
Caravelas,21.229
Cardeal da Silva,8.634
Carinhanha,30.375
Casa Nova,75.815
Castro Alves,25.471
Catolândia,3.560
Catu,50.153
Caturama,9.115
Central,16.849
Chorrochó,10.929
Cícero Dantas,32.268
Cipó,17.836
Coaraci,17.663
Cocos,19.817
Conceição da Feira,21.499
Conceição do Almeida,16.184
Conceição do Coité,71.316
Conceição do Jacuípe,37.409
Conde,24.434
Condeúba,17.571
Contendas do Sincorá,4.490
Coração de Maria,28.258
Cordeiros,7.763
Coribe,14.464
Coronel João Sá,17.593
Correntina,34.179
Cotegipe,13.472
Cravolândia,4.514
Crisópolis,20.343
Cristópolis,14.514
Cruz das Almas,63.203
Curaçá,36.021
Dário Meira,11.094
Dias d'Ávila,75.053
Dom Basílio,12.309
Dom Macedo Costa,4.588
Elísio Medrado,8.066
Encruzilhada,19.535
Entre Rios,39.902
Esplanada,34.146
Euclides da Cunha,64.547
Eunápolis,120.515
Fátima,18.469
Feira da Mata,5.825
Feira de Santana,657.948
Filadélfia,18.573
Firmino Alves,5.006
Floresta Azul,11.442
Formosa do Rio Preto,27.421
Gandu,33.938
Gavião,4.493
Gentio do Ouro,11.263
Glória,16.072
Gongogi,5.567
Governador Mangabeira,21.314
Guajeru,8.225
Guanambi,93.065
Guaratinga,19.490
Heliópolis,13.074
Iaçu,25.333
Ibiassucê,10.754
Ibicaraí,22.200
Ibicoara,21.690
Ibicuí,14.306
Ibipeba,17.128
Ibipitanga,14.316
Ibiquera,3.837
Ibirapitanga,26.794
Ibirapuã,9.259
Ibirataia,19.375
Ibitiara,15.062
Ibititá,17.509
Ibotirama,27.670
Ichu,6.415
Igaporã,16.047
Igrapiúna,13.528
Iguaí,21.897
Ilhéus,189.028
Inhambupe,35.397
Ipecaetá,14.064
Ipiaú,42.507
Ipirá,59.264
Ipupiara,10.318
Irajuba,6.255
Iramaia,11.060
Iraquara,24.759
Irará,29.509
Irecê,78.425
Itabela,29.563
Itaberaba,68.244
Itabuna,196.676
Itacaré,29.337
Itaeté,13.822
Itagi,14.314
Itagibá,15.792
Itagimirim,6.512
Itaguaçu da Bahia,12.683
Itaju do Colônia,6.157
Itajuípe,19.249
Itamaraju,62.065
Itamari,7.219
Itambé,25.108
Itanagra,6.087
Itanhém,18.258
Itaparica,20.369
Itapé,10.658
Itapebi,9.501
Itapetinga,68.735
Itapicuru,33.254
Itapitanga,10.630
Itaquara,8.448
Itarantim,17.517
Itatim,16.375
Itiruçu,11.261
Itiúba,35.491
Itororó,16.945
Ituaçu,18.493
Ituberá,22.299
Iuiu,11.532
Jaborandi,9.592
Jacaraci,14.901
Jacobina,86.649
Jaguaquara,47.738
Jaguarari,34.440
Jaguaripe,18.300
Jandaíra,9.535
Jequié,168.733
Jeremoabo,39.501
Jiquiriçá,14.066
Jitaúna,14.815
João Dourado,25.799
Juazeiro,254.481
Jucuruçu,9.944
Jussara,16.956
Jussari,6.059
Jussiape,7.585
Lafaiete Coutinho,4.221
Lagoa Real,14.546
Laje,21.704
Lajedão,3.986
Lajedinho,3.621
Lajedo do Tabocal,7.702
Lamarão,9.305
Lapão,26.998
Lauro de Freitas,217.960
Lençóis,11.170
Licínio de Almeida,12.208
Livramento de Nossa Senhora,46.249
Luís Eduardo Magalhães,116.662
Macajuba,10.758
Macarani,22.596
Macaúbas,43.725
Macururé,7.455
Madre de Deus,19.173
Maetinga,7.212
Maiquinique,9.011
Mairi,18.161
Malhada,15.834
Malhada de Pedras,8.972
Manoel Vitorino,14.295
Mansidão,14.484
Maracás,29.197
Maragogipe,37.225
Maraú,25.626
Marcionílio Souza,9.507
Mascote,13.941
Mata de São João,44.839
Matina,10.629
Medeiros Neto,22.925
Miguel Calmon,25.317
Milagres,11.434
Mirangaba,16.185
Mirante,10.523
Monte Santo,49.823
Morpará,8.232
Morro do Chapéu,35.224
Mortugaba,11.487
Mucugê,12.650
Mucuri,40.005
Mulungu do Morro,13.625
Mundo Novo,17.417
Muniz Ferreira,7.443
Muquém do São Francisco,10.796
Muritiba,30.146
Mutuípe,20.612
Nazaré,28.403
Nilo Peçanha,12.418
Nordestina,19.500
Nova Canaã,14.035
Nova Fátima,8.264
Nova Ibiá,6.701
Nova Itarana,8.059
Nova Redenção,7.708
Nova Soure,24.906
Nova Viçosa,41.551
Novo Horizonte,11.565
Novo Triunfo,11.197
Olindina,23.085
Oliveira dos Brejinhos,21.334
Ouriçangas,7.939
Ourolândia,20.037
Palmas de Monte Alto,20.677
Palmeiras,10.819
Paramirim,21.009
Paratinga,30.671
Paripiranga,27.866
Pau Brasil,9.584
Paulo Afonso,119.128
Pé de Serra,13.675
Pedrão,6.415
Pedro Alexandre,14.288
Piatã,20.859
Pilão Arcado,37.272
Pindaí,15.146
Pindobaçu,19.625
Pintadas,10.656
Piraí do Norte,11.429
Piripá,9.255
Piritiba,17.838
Planaltino,8.254
Planalto,24.036
Poções,50.642
Pojuca,33.608
Ponto Novo,18.670
Porto Seguro,181.007
Potiraguá,10.636
Prado,37.241
Presidente Dutra,15.650
Presidente Jânio Quadros,12.986
Presidente Tancredo Neves,29.343
Queimadas,27.362
Quijingue,26.457
Quixabeira,9.815
Rafael Jambeiro,20.146
Remanso,42.746
Retirolândia,14.147
Riachão das Neves,22.323
Riachão do Jacuípe,35.118
Riacho de Santana,32.103
Ribeira do Amparo,14.525
Ribeira do Pombal,56.170
Ribeirão do Largo,10.039
Rio de Contas,13.627
Rio do Antônio,13.520
Rio do Pires,10.801
Rio Real,36.997
Rodelas,10.801
Ruy Barbosa,29.606
Salinas da Margarida,15.568
Salvador,2.568.928
Santa Bárbara,21.723
Santa Brígida,15.421
Santa Cruz Cabrália,30.862
Santa Cruz da Vitória,4.721
Santa Inês,10.628
Santaluz,39.922
Santa Luzia,14.377
Santa Maria da Vitória,40.467
Santana,25.520
Santanópolis,9.023
Santa Rita de Cássia,28.826
Santa Terezinha,10.847
Santo Amaro,58.413
Santo Antônio de Jesus,109.267
Santo Estêvão,54.940
São Desidério,34.783
São Domingos,8.693
São Félix,11.198
São Félix do Coribe,15.740
São Felipe,20.918
São Francisco do Conde,40.932
São Gabriel,19.210
São Gonçalo dos Campos,41.909
São José da Vitória,5.451
São José do Jacuípe,10.556
São Miguel das Matas,10.634
São Sebastião do Passé,42.936
Sapeaçu,18.609
Sátiro Dias,16.485
Saubara,11.842
Saúde,10.715
Seabra,48.530
Sebastião Laranjeiras,9.610
Senhor do Bonfim,77.976
Serra do Ramalho,36.119
Sento Sé,40.147
Serra Dourada,17.580
Serra Preta,18.685
Serrinha,84.428
Serrolândia,13.831
Simões Filho,120.394
Sítio do Mato,13.935
Sítio do Quinto,14.359
Sobradinho,26.959
Souto Soares,17.674
Tabocas do Brejo Velho,12.368
Tanhaçu,21.741
Tanque Novo,17.770
Tanquinho,7.983
Taperoá,18.571
Tapiramutá,16.253
Teixeira de Freitas,153.332
Teodoro Sampaio,7.301
Teofilândia,21.827
Teolândia,15.919
Terra Nova,11.035
Tremedal,16.691
Tucano,50.959
Uauá,25.441
Ubaíra,19.162
Ubaitaba,17.967
Ubatã,16.097
Uibaí,13.880
Umburanas,13.888
Una,18.403
Urandi,15.794
Uruçuca,22.130
Utinga,16.691
Valença,90.028
Valente,25.126
Várzea da Roça,14.279
Várzea do Poço,8.344
Várzea Nova,13.847
Varzedo,10.296
Vera Cruz,44.978
Vereda,6.171
Vitória da Conquista,394.024
Wagner,9.847
Wanderley,13.436
Wenceslau Guimarães,25.430
Xique-Xique,46.979
Abadia dos Dourados,6.365
Abaeté,23.161
Abre Campo,14.312
Acaiaca,3.997
Açucena,8.995
Água Boa,12.545
Água Comprida,2.165
Aguanil,4.490
Águas Formosas,18.841
Águas Vermelhas,14.486
Aimorés,26.165
Aiuruoca,6.382
Alagoa,2.816
Albertina,3.023
Além Paraíba,31.333
Alfenas,81.950
Alfredo Vasconcelos,7.184
Almenara,41.894
Alpercata,7.029
Alpinópolis,18.672
Alterosa,14.253
Alto Caparaó,5.982
Alto Rio Doce,10.994
Alvarenga,4.012
Alvinópolis,15.360
Alvorada de Minas,4.322
Amparo do Serra,4.595
Andradas,42.282
Cachoeira de Pajeú,9.333
Andrelândia,12.169
Angelândia,7.860
Antônio Carlos,11.345
Antônio Dias,9.388
Antônio Prado de Minas,1.558
Araçaí,2.224
Aracitaba,2.095
Araçuaí,35.250
Araguari,122.874
Arantina,2.991
Araponga,8.218
Araporã,8.935
Arapuá,2.674
Araújos,9.556
Araxá,117.677
Arceburgo,9.348
Arcos,43.348
Areado,14.212
Argirita,2.725
Aricanduva,4.820
Arinos,17.598
Astolfo Dutra,14.565
Ataléia,13.967
Augusto de Lima,4.593
Baependi,18.768
Baldim,7.614
Bambuí,24.144
Bandeira,4.821
Bandeira do Sul,6.146
Barão de Cocais,32.095
Barão de Monte Alto,4.991
Barbacena,129.630
Barra Longa,5.740
Barroso,20.566
Bela Vista de Minas,10.412
Belmiro Braga,3.299
Belo Horizonte,2.416.339
Belo Oriente,24.503
Belo Vale,8.946
Berilo,9.769
Bertópolis,4.546
Berizal,4.277
Betim,429.236
Bias Fortes,3.388
Bicas,14.331
Biquinhas,2.409
Boa Esperança,41.332
Bocaina de Minas,5.508
Bocaiúva,49.668
Bom Despacho,53.995
Bom Jardim de Minas,6.968
Bom Jesus da Penha,4.642
Bom Jesus do Amparo,5.775
Bom Jesus do Galho,14.756
Bom Repouso,13.183
Bom Sucesso,17.510
Bonfim,7.672
Bonfinópolis de Minas,5.615
Bonito de Minas,10.491
Borda da Mata,17.811
Botelhos,15.137
Botumirim,5.841
Brasilândia de Minas,15.432
Brasília de Minas,33.188
Brás Pires,4.314
Braúnas,4.475
Brazópolis,14.506
Brumadinho,40.777
Bueno Brandão,11.161
Buenópolis,9.229
Bugre,4.149
Buritis,24.693
Buritizeiro,24.068
Cabeceira Grande,6.797
Cabo Verde,11.396
Cachoeira da Prata,3.781
Cachoeira de Minas,12.248
Cachoeira Dourada,2.346
Caetanópolis,11.832
Caeté,39.850
Caiana,5.463
Cajuri,4.186
Caldas,14.588
Camacho,2.867
Camanducaia,27.551
Cambuí,30.870
Cambuquira,12.560
Campanário,2.917
Campanha,16.334
Campestre,21.143
Campina Verde,18.250
Campo Azul,3.802
Campo Belo,53.943
Campo do Meio,11.624
Campo Florido,8.838
Campos Altos,13.136
Campos Gerais,26.809
Canaã,4.832
Canápolis,10.755
